Code,Name,Parent Category Code,Image name
SC-1-001,ផ្លែកាត់ដែក,C-001,no_image.png
SC-1-002,ផ្លែកាំបិទកាត់ដែក,C-001,no_image.png
SC-1-003,ផ្លែតារ៉ូដែក,C-001,no_image.png
SC-1-004,ផ្លែឆាបដែក,C-001,no_image.png
SC-1-005,ផ្លែច្រាស់ឆាបដែក,C-001,no_image.png
SC-1-006,ផ្លែស្វានដែក,C-001,no_image.png
SC-1-007,ផ្លែស្វានដែក ឈុត,C-001,no_image.png
SC-1-008,ផ្លែកាត់បេតុង,C-001,no_image.png
SC-1-009,ផ្លែឆាបបេតុង,C-001,no_image.png
SC-1-010,ផ្លែស្វានបេតុង,C-001,no_image.png
SC-1-011,ផ្លែស្វានបុកបំបែក,C-001,no_image.png
SC-1-012,ផ្លែចោះបេតុង ស្លេប,C-001,no_image.png
SC-1-013,ផ្លែចោះពិដានម្នាងសិលា ,C-001,no_image.png
SC-1-014,ផ្លែកាត់ឈើ,C-001,no_image.png
SC-1-015,ផ្លែឆាបឈើ,C-001,no_image.png
SC-1-016,ផ្លែស្វានឈើ,C-001,no_image.png
SC-1-017,ផ្លែរណា,C-001,no_image.png
SC-1-018,0221-0240,C-001,no_image.png
SC-1-019,ដែកគោលពុម្ព,C-001,no_image.png
SC-1-020,ដែកគោលបេតុង,C-001,no_image.png
SC-1-021,ដែកគោលបាញ់ឈើ,C-001,no_image.png
SC-1-022,ញញូរ,C-001,no_image.png
SC-1-023,ពូថៅ,C-001,no_image.png
SC-1-024,0311-0320,C-001,no_image.png
SC-1-025,កាំបិត ផ្លែ,C-001,no_image.png
SC-1-026,បង្គី,C-001,no_image.png
SC-1-027,ចប ប៉ែល,C-001,no_image.png
SC-1-028,ស្លាបព្រាកំបោរ ,C-001,no_image.png
SC-1-029,ខ្សែនីឡុង,C-001,no_image.png
SC-1-030,សំណាញ់រៀបឥដ្ឋ,C-001,no_image.png
SC-1-031,លួស និង​សំណាញ់,C-001,no_image.png
SC-1-032,ទុយោថ្លឹងទឹក,C-001,no_image.png
SC-1-033,ទុយោក្រឡាពស់,C-001,no_image.png
SC-1-034,ទុយោថ្លឹងខ្យល់,C-001,no_image.png
SC-1-035,ទុយោបូមទឹក,C-001,no_image.png
SC-1-036,ក្បាលបូមទឹក,C-001,no_image.png
SC-1-037,ខ្សែរបន្ទាត់,C-001,no_image.png
SC-1-038,កូនប្រយោល,C-001,no_image.png
SC-1-039,ដី ស,C-001,no_image.png
SC-1-040,កែវស្ទង់,C-001,no_image.png
SC-1-041,ស្រ្ពាយ ,C-001,no_image.png
SC-1-042,ថ្នាំច្រេះលាបដែក,C-001,no_image.png
SC-1-043,ក្តារទ្រ​ ក្តារបៀក,C-001,no_image.png
SC-1-044,ក្តារកុងផ្លាកេ,C-001,no_image.png
SC-1-045,ម្នាងសិលា,C-001,no_image.png
SC-1-046,ឆ្អឹងស៊ីឡាយ,C-001,no_image.png
SC-1-047,Sky Light,C-001,no_image.png
SC-1-048,ម៉ែត្រ ,C-001,no_image.png
SC-1-049,វ៉ែនតា ,C-001,no_image.png
SC-1-050,មូក ,C-001,no_image.png
SC-1-051,អាវ,C-001,no_image.png
SC-1-052,អាវភ្លៀង,C-001,no_image.png
SC-1-053,ឆ័ត្រ,C-001,no_image.png
SC-1-054,ស្រោមដៃ,C-001,no_image.png
SC-1-055,ម៉ាស,C-001,no_image.png
SC-1-056,ស្បែកជើង,C-001,no_image.png
SC-1-057,បំពង់ពន្លត់អគ្គីភ័យ,C-001,no_image.png
SC-1-058,ខ្សែរពូ ,C-001,no_image.png
SC-1-059,ខ្សែរកាប,C-001,no_image.png
SC-1-060,ខ្សែកាបក្រណាត់,C-001,no_image.png
SC-1-061,ខ្សែកាបមានក្បាល,C-001,no_image.png
SC-1-062,ខ្សែញាក់បេតុង,C-001,no_image.png
SC-1-063,ខ្សែពាន,C-001,no_image.png
SC-1-064,ក្រចាប់កាប,C-001,no_image.png
SC-1-065,មុន្នី,C-001,no_image.png
SC-1-066,តង់ដឺ,C-001,no_image.png
SC-1-067,កៅឡាក់,C-001,no_image.png
SC-1-068,សំណាញ់បៃតង,C-001,no_image.png
SC-1-069,តង់,C-001,no_image.png
SC-1-070,កៅស៊ូ ស,C-001,no_image.png
SC-1-071,អេប៉ុង,C-001,no_image.png
SC-1-072,ស្នោ,C-001,no_image.png
SC-1-073,ធូបផ្សា,C-001,no_image.png
SC-1-074,សាប៊ូ ,C-001,no_image.png
SC-1-075,សាំងក្រអូប,C-001,no_image.png
SC-1-076,អាចម៍ដែក,C-001,no_image.png
SC-1-077,បាវ,C-001,no_image.png
SC-1-078,អំបោស,C-001,no_image.png
SC-1-079,ប្រដាប់ចូកសំរាម,C-001,no_image.png
SC-1-080,ច្រាស់,C-001,no_image.png
SC-1-081,ថង់ខ្មៅ,C-001,no_image.png
SC-1-082,ធុងសំរាម,C-001,no_image.png
SC-1-083,ជក់,C-001,no_image.png
SC-1-084,រឡូលាបថ្នាំ,C-001,no_image.png
SC-1-085,ឥដ្ឋ,C-001,no_image.png
SC-1-086,ការ៉ូជញ្ជាំង,C-001,no_image.png
SC-1-087,ការ៉ូបាត,C-001,no_image.png
SC-1-088,ខ្សាច់,C-001,no_image.png
SC-1-089,ថ្ម,C-001,no_image.png
SC-1-090,ស៊ីម៉ង់ត៍,C-001,no_image.png
SC-1-091,បេតុង,C-001,no_image.png
SC-1-092,ម្សៅបៀក,C-001,no_image.png
SC-1-093,1160-1170,C-001,no_image.png
SC-1-094,ការ៉ូឡា,C-001,no_image.png
SC-1-095,លូ,C-001,no_image.png
SC-1-096,រ៉េហ្គែរ,C-001,no_image.png
SC-1-097,រទេអូស,C-001,no_image.png
SC-1-098,កង់អន្ទារ កង់រ៉ៃ,C-001,no_image.png
SC-1-099,សំបក ពោះវៀន,C-001,no_image.png
SC-1-100,ឈើ,C-001,no_image.png
SC-1-101,ខ្យល់ ហ្គាស,C-001,no_image.png
SC-1-102,តំណរទុយោ,C-001,no_image.png
SC-1-103,វ៉ានខ្យល់ ហ្គាស,C-001,no_image.png
SC-1-104,ក្បាលផ្សា,C-001,no_image.png
SC-1-105,កំបាំងផ្សា,C-001,no_image.png
SC-1-106,ខ្សែផ្សា,C-001,no_image.png
SC-1-107,ថ្មស្អុយ,C-001,no_image.png
SC-1-108,គូរីយេ,C-001,no_image.png
SC-1-109,ក្បាលវីសបាញ់,C-001,no_image.png
SC-1-110,វីស,C-001,no_image.png
SC-2-001,ដែកថ្នាំងអំពៅ SD390,C-002,no_image.png
SC-2-002,ដែកថ្នាំងអំពៅ SD 460,C-002,no_image.png
SC-2-003,ដែកថ្នាំងអំពៅ SD 490,C-002,no_image.png
SC-2-004,ដែកសសៃលាត,C-002,no_image.png
SC-2-005,ដែក កង,C-002,no_image.png
SC-2-006,ដែកលួសចំណង,C-002,no_image.png
SC-2-007,ក្រចាប់,C-002,no_image.png
SC-2-008,ជើងសារ៉េ,C-002,no_image.png
SC-2-009,សុងតដែក ,C-002,no_image.png
SC-2-010,រន្ទារ,C-002,no_image.png
SC-2-011,ខ្វែងរន្ទារ,C-002,no_image.png
SC-2-012,ដែកទីបមូល ខ្មៅ,C-002,no_image.png
SC-2-013,ដែកទីបមូល ស,C-002,no_image.png
SC-2-014,ដែកទីបជ្រុង ខ្មៅ,C-002,no_image.png
SC-2-015,ដែកទីបជ្រុង ស,C-002,no_image.png
SC-2-016,ដែក រនាប,C-002,no_image.png
SC-2-017,ដែក វ៉េ,C-002,no_image.png
SC-2-018,ដែក អ៊ុយ,C-002,no_image.png
SC-2-019,ដែកសេ ខ្មៅ,C-002,no_image.png
SC-2-020,ដែកសេ   ស,C-002,no_image.png
SC-2-021,ដែកហាស់ H,C-002,no_image.png
SC-2-022,ដែកអ៊ី I,C-002,no_image.png
SC-2-023,ដែកសន្លឹក លាត,C-002,no_image.png
SC-2-024,ដែកសន្លឹក ផ្កា,C-002,no_image.png
SC-2-025,ស័ង្កសី,C-002,no_image.png
SC-2-026,កាបទ្ររស្លេប ,C-002,no_image.png
SC-2-027,បំពង់កាប,C-002,no_image.png
SC-2-028,សុងតកាប,C-002,no_image.png
SC-2-029,ក្បាលកាប,C-002,no_image.png
SC-2-030,រន្ធក្បាលកាប,C-002,no_image.png
SC-2-031,ឃ្នៀបក្បាលកាប,C-002,no_image.png
SC-2-032,ច្រកក្បាលកាប,C-002,no_image.png
SC-2-033,ស្នោកាប,C-002,no_image.png
SC-2-034,ខ្លាញ់កាប,C-002,no_image.png
SC-2-035,ដែកបាញ់ឆែរ,C-002,no_image.png
SC-3-001,ម៉ូទ័រកាត់ដែក,C-003,no_image.png
SC-3-002,ម៉ូទ័រកាត់ឈើ,C-003,no_image.png
SC-3-003,ម៉ូទ័រញាក់,C-003,no_image.png
SC-3-004,ម៉ូទ័រស្វាន,C-003,no_image.png
SC-3-005,ម៉ូទ័រខ្យល់,C-003,no_image.png
SC-3-006,ម៉ូទ័រពត់ដែក,C-003,no_image.png
SC-3-007,ម៉ូទ័រតារ៉ូ,C-003,no_image.png
SC-3-008,ម៉ូទ័របូមទឹក,C-003,no_image.png
SC-3-009,ប៉ុស្តិ៍ផ្សា,C-003,no_image.png
SC-3-010,ម៉ាស៊ីនបង្ហាប់ដី,C-003,no_image.png
SC-3-011,ម៉ាស៊ីនក្រឡុកបេតុង,C-003,no_image.png
SC-3-012,ម៉ាស៊ីនញាក់បេតុង,C-003,no_image.png
SC-3-013,ម៉ាស៊ីនខាត់បេតុង,C-003,no_image.png
SC-3-014,ម៉ាស៊ីនកាត់បេតុង,C-003,no_image.png
SC-3-015,ម៉ាស៊ីនបូមខ្យល់,C-003,no_image.png
SC-3-016,ម៉ាស៊ីនបាញ់ថ្នាំ,C-003,no_image.png
SC-3-017,ម៉ាស៊ីនបូមទឹក,C-003,no_image.png
SC-3-018,ម៉ាស៊ីនភ្លើង,C-003,no_image.png
